task_id,source_url,evidence,starter_sha256,reference_sha256,source_different,removed_directive_count,starter_valid,reference_valid,validity_rescue,starter_latency,reference_latency,starter_ii,reference_ii,starter_clock_ns,reference_clock_ns,starter_normalized_footprint,reference_normalized_footprint,performance_ratio,area_ratio,positive_performance_factor,positive_area_factor,source_factor,validity_factor,evidence_ratio,current_signed_hardware_ratio,current_score,final_reference_score,raw_hardware_metrics_identical,pareto_class,api_request_count,starter_LUT,starter_FF,starter_DSP,starter_BRAM_18K,starter_URAM,reference_LUT,reference_FF,reference_DSP,reference_BRAM_18K,reference_URAM
amd_intro__array_array_partition_block_cyclic,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Array/array_partition_block_cyclic,runs/qhw_reference_study_20260801/raw/amd_intro__array_array_partition_block_cyclic/evidence.json,9f8cc6f00e25688de243932df1adcb4bf679a8be19fcd346a3091b5e848e4a13,f8262f4eb659b8889061fd7d71dbd9ca1c2431df1ecda24987fb37646d477bb4,True,2,True,True,False,1140,1071,1141,1072,3.65,3.65,0.03003266585021082,0.015406507753719312,1.0644257703081232,1.9493493482980415,1.0349359171645585,1.3503624558247065,1.01,1.0,1.4115139927907636,1.0349359171645585,75.85103481098704,82.80427751914647,False,reference_dominates,0,13864,11434,131,2,0,7548,5578,63,2,0
amd_intro__array_array_partition_complete,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Array/array_partition_complete,runs/qhw_reference_study_20260801/raw/amd_intro__array_array_partition_complete/evidence.json,6b0ec8cefbf2a17ed89a8f68b3623fa45b8a73870d0a1b7e393757bf656ba06b,e08eda565ba14254fec12baa2e7dcc7f3be4dcaa7a3df00f870c8641aaea52a0,True,3,True,True,False,,,,,3.65,3.65,0.015521183134180775,0.015521183134180775,1.0,1.0,1.0,1.0,1.01,1.0,1.01,,,75.24813742234102,True,identical_hardware_metrics,0,7639,5695,63,2,0,7639,5695,63,2,0
amd_intro__dsp_fir_decimator,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/DSP/fir/decimator,runs/qhw_reference_study_20260801/raw/amd_intro__dsp_fir_decimator/evidence.json,e592481c91508afc97d62d161702ae4ccf994aa8c69f8f95e3224fe979109dee,1196cc3705a2e514ca55e48ad7b2e01d358477724aa267c43d884c0bde898da8,True,1,True,True,False,21,20,22,21,2.0,2.0,0.001739037905137927,0.0017133414152017464,1.05,1.0149978805702056,1.027197880210253,1.006721424031422,1.01,1.0,1.0444431338545972,1.027197880210253,75.66632444788023,76.07511110287697,False,reference_dominates,0,511,334,11,0,0,482,325,11,0,0
amd_intro__interface_aggregation_disaggregation_aggregation_of_nested_structs,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Aggregation_Disaggregation/aggregation_of_nested_structs,runs/qhw_reference_study_20260801/raw/amd_intro__interface_aggregation_disaggregation_aggregation_of_nested_structs/evidence.json,b7112ba7db034f0874f67b37cc3d9030d27f442292d0f1f58d640ae4e64eb37a,6dd6ab56df0c7cfcfac117828fbb70e90fb714d64e92f344d91b0b8fda546e81,True,1,True,True,False,10,17,8,16,1.346,1.346,0.00011812714776632302,0.00011889420716740304,0.5882352941176471,0.9935483871510377,1.0,1.0,1.01,1.0,1.01,0.7446391184332576,67.14595951800995,75.24813742234102,False,starter_dominates,0,149,10,0,0,0,150,10,0,0,0
amd_intro__interface_aggregation_disaggregation_struct_ii_issue,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Aggregation_Disaggregation/struct_ii_issue,runs/qhw_reference_study_20260801/raw/amd_intro__interface_aggregation_disaggregation_struct_ii_issue/evidence.json,ac837a8d9e4d48e96ef02cb64a7c29eade40a05627efcd8ca90e08dd8ff5dc3d,eae88f88a187f6d7fa0b565bf992bb93981969b1db8f5a18392c423864dbd705,True,1,True,True,False,526,526,527,200,3.65,3.65,0.010767724185894289,0.015366500981836033,1.0,0.7007271335824302,1.0,1.0,1.01,1.0,1.01,0.5516783355590258,58.46668395388308,75.24813742234102,False,tradeoff,0,8837,5228,0,8,0,7784,5098,0,30,0
amd_intro__interface_memory_aliasing_axi_master_ports,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Memory/aliasing_axi_master_ports,runs/qhw_reference_study_20260801/raw/amd_intro__interface_memory_aliasing_axi_master_ports/evidence.json,6c37822180124a653b1579dee987af56670f75fc4d644ddf571875ed899bb4cb,612836be329bf38248bb9813a82251d5fc8406d9acfa0fac855ecb9eb5fb0697,True,5,True,True,False,2088,1060,2089,1045,3.65,3.65,0.004225346710849288,0.004412509204712813,1.969811320754717,0.9575836592881872,1.451889438243443,1.0,1.01,1.0,1.4664083326258774,1.3728871646645289,82.23988287079122,83.5612026360753,False,tradeoff,0,1843,1511,0,9,0,2087,1511,0,9,0
amd_intro__interface_memory_burst_rw,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Memory/burst_rw,runs/qhw_reference_study_20260801/raw/amd_intro__interface_memory_burst_rw/evidence.json,2895d6db322e12624ec127c2344c4dd3852ffa36cc8b8e17675a824ab984ab9b,ac5c2a68ac5ef70b1026348d30043c5e303b27ad484530653cabefb964ec3f58,True,1,True,True,False,50689,50689,50690,50690,3.65,3.65,0.0045005931926035015,0.0045005931926035015,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,75.0,75.24813742234102,True,identical_hardware_metrics,0,1898,1472,0,10,0,1898,1472,0,10,0
amd_intro__interface_memory_coefficient_filter,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Memory/coefficient_filter,runs/qhw_reference_study_20260801/raw/amd_intro__interface_memory_coefficient_filter/evidence.json,3a81d3818d30bd6b3aeb2f9d5bfa22136e169e181bd3419cc9bf6e2b55ac905b,8e3d814175bc4d24d0beda2c9f694651e006c86c20a35b57ecb5d4a5482e32a6,True,1,True,True,False,258,258,256,256,3.117,3.117,0.0004240315249445541,0.0004240315249445541,1.0,1.0,1.0,1.0,1.01,1.0,1.01,1.0,75.0,75.24813742234102,True,identical_hardware_metrics,0,75,20,1,1,0,75,20,1,1,0
amd_intro__interface_memory_ecc_flags,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Memory/ecc_flags,runs/qhw_reference_study_20260801/raw/amd_intro__interface_memory_ecc_flags/evidence.json,f0c0c70c2461106fa2d67c805a9a8a5a1b7f17a647f36a9df395cb83fdc91c81,a4ccf3252797495141285ff28e52cdfc6fc60366e4ad75f6b3260a317389bf8c,True,2,True,True,False,113,115,114,116,3.17,3.415,0.005355151766782606,0.007601485222845443,0.9826086956521739,0.7044875586923182,1.0,1.0,1.01,1.0,1.01,0.7250130664791733,66.39412390233785,75.24813742234102,False,starter_dominates,0,3994,5108,3,0,0,4159,5203,3,0,2
amd_intro__interface_memory_lmem_2rw,https://github.com/Xilinx/Vitis-HLS-Introductory-Examples/tree/aa5c160faf5d5ebf58674df8f0591f9984ebae0f/Interface/Memory/lmem_2rw,runs/qhw_reference_study_20260801/raw/amd_intro__interface_memory_lmem_2rw/evidence.json,19c71fda59d76e282cca4a968ac08853861c3710c9f6fd2ee181f86eb60626a6,a16c1b43bd6da1d9426ce6ed5e99ef32f92c8c2a657c3878c860401751a422de,True,2,True,True,False,16553,14505,16554,14506,3.65,3.65,0.004281981263295697,0.00441391548028146,1.141192692175112,0.9701094827154553,1.0753440589256456,1.0,1.01,1.0,1.086097499514902,1.0451708527474983,76.09213412674072,77.021017469488,False,tradeoff,0,2466,1706,0,7,0,2627,1728,0,7,0
